country,year,prevalence,incidence,n_cases
Uruguay,2004,5.305,0.1096,6553
Uruguay,2005,5.279,0.0981,49602
Uruguay,2006,5.419,0.1075,2901
Uruguay,2007,5.418,0.0724,45414
Uruguay,2008,5.587,0.0991,12051
Uruguay,2009,5.563,0.1005,46666
Uruguay,2010,5.670,0.1075,49218
Uruguay,2011,5.617,0.0926,21358
Uruguay,2012,5.669,0.1079,2192
Uruguay,2013,5.851,0.0934,49272
Uruguay,2014,5.767,0.0982,20058
Uruguay,2015,5.880,0.0829,1852
Uruguay,2016,5.993,0.1107,19423
Uruguay,2017,6.022,0.0982,36719
Uruguay,2018,5.995,0.0914,20070
Uruguay,2019,6.145,0.1106,41393
Uruguay,2020,6.332,0.0947,5921
Uruguay,2021,6.279,0.1111,45404
Uruguay,2022,6.166,0.0991,36816
Uruguay,2023,6.478,0.0910,28022
Uruguay,2024,6.227,0.0992,22569
Uruguay,2025,6.408,0.0915,38012
Uruguay,2026,6.420,0.1006,6834
Puerto Rico,1990,2.212,0.1082,42382
Puerto Rico,1991,2.302,0.1069,44670
Puerto Rico,1992,2.385,0.1006,9604
Puerto Rico,1993,2.244,0.1053,17395
Puerto Rico,1994,2.380,0.1013,26283
Puerto Rico,1995,2.508,0.0969,4051
Puerto Rico,1996,2.491,0.0709,14644
Puerto Rico,1997,2.609,0.1009,45280
Puerto Rico,1998,2.654,0.0814,23217
Puerto Rico,1999,2.456,0.1162,16336
Puerto Rico,2000,2.644,0.0908,29783
Puerto Rico,2001,2.655,0.0918,3326
Puerto Rico,2002,2.661,0.0868,49379
Puerto Rico,2003,2.589,0.1135,10778
Puerto Rico,2004,2.859,0.1008,14488
Puerto Rico,2005,2.953,0.1032,16204
Puerto Rico,2006,2.897,0.1015,27896
Puerto Rico,2007,3.015,0.1017,25921
Puerto Rico,2008,3.106,0.1013,37985
Puerto Rico,2009,3.213,0.1089,37199
Puerto Rico,2010,3.330,0.0997,28584
Puerto Rico,2011,3.058,0.1014,2212
Puerto Rico,2012,3.388,0.0932,45471
Puerto Rico,2013,3.339,0.1017,22652
Puerto Rico,2014,3.389,0.1142,20541
Puerto Rico,2015,3.338,0.0941,29553
Puerto Rico,2016,3.568,0.0923,17450
Puerto Rico,2017,3.317,0.0981,2284
Puerto Rico,2018,3.509,0.0795,1946
Puerto Rico,2019,3.462,0.0969,23903
Puerto Rico,2020,3.733,0.1024,37217
Puerto Rico,2021,3.535,0.0982,47892
Puerto Rico,2022,3.782,0.1181,30694
Puerto Rico,2023,3.789,0.1295,40794
Puerto Rico,2024,3.856,0.1110,23671
Puerto Rico,2025,3.913,0.1035,10711
Puerto Rico,2026,4.104,0.0940,12583
